epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,13690.7,1.6376,1.17712,0.0081,0.81771,0.65702,0.73802,0.44918,1.4059,0.91085,0.00766,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,13868.2,1.61617,1.16992,0.00813,0.82193,0.65483,0.73761,0.44889,1.40593,0.91149,0.00766,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
79,14045.4,1.6064,1.1383,0.00798,0.82246,0.65411,0.73787,0.44917,1.40543,0.91325,0.00766,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
80,14222.9,1.62409,1.17018,0.00812,0.82703,0.65262,0.73791,0.44884,1.40574,0.91397,0.00766,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179
81,14400.1,1.63856,1.16305,0.00809,0.82173,0.65421,0.73812,0.44904,1.40617,0.91385,0.00767,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
82,14577.2,1.63015,1.14918,0.00815,0.82115,0.65609,0.73753,0.44915,1.40626,0.91496,0.00767,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981
83,14754,1.6057,1.14057,0.008,0.81522,0.65895,0.73739,0.44927,1.40527,0.91573,0.00767,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
84,14931.2,1.62174,1.15205,0.00794,0.8121,0.65807,0.73704,0.44924,1.40551,0.91652,0.00767,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783
85,15108.5,1.61275,1.1573,0.00818,0.81157,0.65862,0.73645,0.4488,1.40554,0.91687,0.00767,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
86,15285.3,1.5958,1.13253,0.008,0.81074,0.65909,0.73671,0.44894,1.40512,0.91782,0.00767,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
87,15462,1.61875,1.14874,0.00785,0.81012,0.66023,0.73641,0.44911,1.40438,0.91986,0.00767,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
88,15639.9,1.62541,1.13565,0.00805,0.81303,0.65747,0.73606,0.44912,1.40397,0.92006,0.00766,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387
89,15816.6,1.63455,1.14365,0.00799,0.8131,0.65839,0.73568,0.44892,1.40347,0.92139,0.00766,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
90,15994.2,1.62499,1.15556,0.00789,0.82011,0.65439,0.73543,0.44917,1.40318,0.92252,0.00766,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189
91,16171.3,1.62204,1.15658,0.00793,0.81744,0.65556,0.73479,0.44899,1.40252,0.92445,0.00767,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
92,16348.6,1.61237,1.1385,0.00792,0.80657,0.65923,0.73507,0.44872,1.40214,0.92486,0.00766,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991
93,16525.8,1.61201,1.13912,0.00798,0.8009,0.66184,0.73489,0.44852,1.40164,0.92649,0.00766,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
94,16703,1.61147,1.13095,0.00793,0.80999,0.65567,0.73511,0.44863,1.4013,0.92669,0.00766,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793
95,16880,1.62269,1.15678,0.0079,0.80445,0.6593,0.73522,0.44894,1.40029,0.92743,0.00766,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
96,17057.7,1.6013,1.1128,0.00795,0.79918,0.66061,0.73551,0.44944,1.39974,0.92828,0.00765,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
97,17234.8,1.61061,1.14863,0.00794,0.80026,0.6618,0.73581,0.44955,1.39909,0.92842,0.00765,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
98,17412.7,1.61275,1.11826,0.00795,0.80768,0.65786,0.73542,0.4496,1.39815,0.92847,0.00764,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397
